,0
CPB,food-major-diversified
DTEA,food-major-diversified
GIS,food-major-diversified
KHC,food-major-diversified
LEXX,food-major-diversified
MDLZ,food-major-diversified
RGF,food-major-diversified
SMPL,food-major-diversified
THS,food-major-diversified
TTCF,food-major-diversified
VGFC,food-major-diversified
BRFS,food-meat-fish-dairy
BSFC,food-meat-fish-dairy
BTOG,food-meat-fish-dairy
HRL,food-meat-fish-dairy
LWAY,food-meat-fish-dairy
PPC,food-meat-fish-dairy
SAFM,food-meat-fish-dairy
SEB,food-meat-fish-dairy
TSN,food-meat-fish-dairy
BRID,food-specialty-candy
BROS,food-specialty-candy
CALM,food-specialty-candy
CVGW,food-specialty-candy
FDP,food-specialty-candy
FLO,food-specialty-candy
FRPT,food-specialty-candy
HAIN,food-specialty-candy
HSY,food-specialty-candy
IFF,food-specialty-candy
INGR,food-specialty-candy
JJSF,food-specialty-candy
LANC,food-specialty-candy
LW,food-specialty-candy
MKC,food-specialty-candy
MKC.,food-specialty-candy
NOMD,food-specialty-candy
PETZ,food-specialty-candy
POST,food-specialty-candy
SJM,food-specialty-candy
SNAX,food-specialty-candy
SOVO,food-specialty-candy
STKL,food-specialty-candy
SXT,food-specialty-candy
TR,food-specialty-candy
TWNK,food-specialty-candy
UTZ,food-specialty-candy
BCC,forest-products
JELD,forest-products
LPX,forest-products
MHK,forest-products
TREX,forest-products
UFPI,forest-products
WFG,forest-products
ATO,gas-distributors
BIPC,gas-distributors
CLNE,gas-distributors
CPK,gas-distributors
CSAN,gas-distributors
MDU,gas-distributors
NFE,gas-distributors
NI,gas-distributors
NIMC,gas-distributors
NJR,gas-distributors
NWN,gas-distributors
OGS,gas-distributors
SJI,gas-distributors
SJIV,gas-distributors
SPH,gas-distributors
SR,gas-distributors
SWX,gas-distributors
UGI,gas-distributors
UGIC,gas-distributors
ARHS,home-furnishings
DXYN,home-furnishings
ETD,home-furnishings
LEG,home-furnishings
LIVE,home-furnishings
LZB,home-furnishings
SNBR,home-furnishings
TPX,home-furnishings
FND,home-improvement-chains
HD,home-improvement-chains
LOW,home-improvement-chains
BZH,homebuilding
CCS,homebuilding
CHCI,homebuilding
CVCO,homebuilding
DHI,homebuilding
FTDR,homebuilding
GGE,homebuilding
GRBK,homebuilding
HOV,homebuilding
KBH,homebuilding
LEGH,homebuilding
LEN,homebuilding
LEN.,homebuilding
LGIH,homebuilding
MDC,homebuilding
MHO,homebuilding
MTH,homebuilding
